Reporting starts,Campaign name,Objective,Reach,Impressions,Frequency,Amount spent (VND),CTR (link click-through rate),CPC (All) (VND),"CPM (cost per 1,000 impressions) (VND)","Cost per 1,000 people reached (VND)",Conversions,Conversion values,Cost per conversion,Post comments,Link clicks,Messaging Conversations Started
2025-04-12,04_HEAD_Breezy,Messages,378,430,1.137566,26439,0.232558,979.222222,61486.04651,69944.44444,0,0,0,0,1,1
2025-04-12,07_HEAD_Hoa cat canh,Engagement,411,486,1.182482,36178,0.411523,1004.944444,74440.32922,88024.3309,0,0,0,0,2,1
2025-04-12,05_HEAD_Thiet ke,Messages,519,593,1.142582,54081,0.505902,1040.019231,91198.9882,104202.3121,0,0,0,0,3,3
2025-04-12,05_HEAD_Thiet ke,Messages,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-04-12,10_HEAD_Lan Ho diep,Messages,652,696,1.067485,60974,0.862069,1195.568627,87606.32184,93518.40491,0,0,0,0,6,2
2025-04-12,07_HEAD_Hoa cat canh,Engagement,102,110,1.078431,9664,0.909091,743.384615,87854.54546,94745.09804,0,0,0,0,1,1
2025-04-12,07_HEAD_Hoa cat canh,Engagement,342,357,1.04386,28238,0.560224,641.772727,79098.03922,82567.25146,0,0,0,0,2,1
2025-04-12,10_HEAD_Lan Ho diep,Messages,1781,1907,1.070747,143659,0.629261,997.631944,75332.45936,80661.98765,0,0,0,3,12,10
2025-04-12,07_HEAD_Hoa cat canh,Engagement,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-04-12,07_Q2_Hoa cat canh,Engagement,293,321,1.095563,30062,0.311526,1307.043478,93651.09034,102600.6826,0,0,0,0,1,0
2025-04-12,07_HEAD_Hoa cat canh,Engagement,1352,1785,1.320266,149218,0.392157,968.948052,83595.51821,110368.3432,0,0,0,1,7,3
2025-04-12,07_Q7_Hoa cat canh,Engagement,431,491,1.139211,28992,1.221996,707.121951,59046.84318,67266.82135,0,0,0,0,6,1
2025-04-12,07_Q2_Hoa cat canh,Engagement,357,460,1.288515,49707,1.086957,828.45,108058.6957,139235.2941,0,0,0,0,5,0
2025-04-12,11_Q2_Hon hop,Messages,10,14,1.4,1405,0,0,100357.1429,140500,0,0,0,0,0,0
2025-04-12,04_HEAD_Breezy,Messages,500,571,1.142,24520,0.350263,1114.545455,42942.20666,49040,0,0,0,0,2,1
2025-04-12,04_HEAD_Breezy,Messages,671,717,1.068554,27069,1.25523,429.666667,37753.13808,40341.28167,0,0,0,0,9,1
